Number_of_Customers,Number_of_Views,Product_Category,Stock_Level,Historical_Price,Competitor_Price,Seasonality_Index,Discount_Offered,Rating,adjusted_price
320,582,Beauty,464,79.83861907441018,490.20433336762335,1.2,0.1,1.0549223662971672,65.93124671951293
239,496,Home,331,401.88372348569203,35.435500610782846,0.8,0.3,3.2800666013016593,231.44628894718167
495,493,Home,151,189.6702460125579,294.3198848898159,1.0,0.3,4.252978683970891,617.6761301066853
224,174,Home,349,383.3495098285933,264.82644630989415,1.0,0.3,2.7337741575213035,245.3436862902997
495,581,Beauty,235,104.1106813902841,194.30971467554465,1.2,0.2,3.276995081795015,262.04129129588455
100,202,Beauty,157,164.38599619077783,427.2724570828253,1.0,0.3,2.6887247785618387,104.04176974099863
413,396,Beauty,467,56.63376437430628,292.1140782785113,0.8,0.2,3.056151599488137,39.98246954972392
104,277,Home,425,80.30484217534803,163.4268704944287,1.2,0.2,4.5373850551396675,23.525925595031534
293,314,Home,326,442.75991027283914,227.6109787851791,1.0,0.1,2.9125604372108933,396.72371165119836
369,414,Home,105,63.46519565093299,184.83374311810525,1.2,0.0,1.0299023458742789,265.11687390785966
180,138,Home,305,56.90829157011217,220.74194778089475,0.8,0.0,4.199394569348604,26.7803725035822
356,358,Home,254,470.78488230996334,44.920237268537775,1.2,0.1,3.470869365610024,788.7031440110444
184,815,Home,357,326.4926952337761,64.83874994629164,0.8,0.3,3.9215733477423824,134.24504116874817
70,106,Beauty,454,59.448831941665524,315.6089248187688,1.2,0.1,4.604348825362575,10.975168973845943
378,148,Clothing,443,486.14120214236516,345.19350492425485,1.2,0.1,2.144856944921883,496.65236326976765
216,637,Clothing,112,82.0790051466156,321.94400348081257,1.0,0.0,3.0122796850678624,156.89438151919444
323,260,Home,29,385.5094053898597,383.9069447246308,1.0,0.2,3.4099341973835147,4150.65126469749
437,968,Clothing,11,27.077167203397366,472.3316705240929,0.8,0.1,2.3815646579827288,788.8481378589765
138,275,Clothing,176,316.02548069650766,431.702970377401,0.8,0.1,4.384268609415283,197.1141981293472
365,690,Beauty,478,277.88489733041894,215.06969389190928,0.8,0.2,3.790264719599433,169.39956162939944
63,101,Home,337,111.92186710839756,116.59613709142492,1.0,0.0,3.933630335252205,20.861176413695404
291,994,Home,45,325.14160993300396,162.80758368461315,1.2,0.3,4.2320290735063715,2468.2489171435864
314,554,Clothing,170,312.35596665692043,297.99332909319315,0.8,0.1,2.032336725246333,458.85274166209604
395,743,Home,129,401.1923405773486,429.5420838842078,1.2,0.3,3.98256715865991,1462.8089956435633
102,375,Home,244,439.1782887142182,353.8448205186981,1.2,0.3,4.095227438201202,219.4098879127359
435,597,Home,352,259.95142092024736,276.0764213368431,1.0,0.1,4.369570186604134,320.3367368280669
389,728,Home,202,250.24464480723904,304.92039618441686,1.0,0.3,2.9541513220067643,479.53284152717237
141,775,Clothing,225,314.5819277629019,268.84799472686916,1.2,0.1,3.016758461974994,235.51885919240263
416,899,Electronics,79,367.3117187226084,486.09748055151863,0.8,0.2,1.392712880404682,1528.016749886051
493,127,Clothing,309,184.52387449651854,409.88481160522457,1.0,0.2,4.40848383527292,293.4524842799472
477,432,Beauty,34,257.27452284945196,392.82583554656287,1.2,0.2,3.1339527548506605,4207.541053686466
313,100,Electronics,51,296.70105105335494,263.4912035632286,1.0,0.2,3.3777388865768736,1785.9120957634634
480,287,Electronics,160,494.30526107959645,172.5866342090752,1.2,0.0,1.4857626259444903,1768.4461514400468
84,155,Electronics,468,297.97897626339915,19.561906225502657,1.0,0.2,3.4072901276253393,53.36936888299686
255,646,Clothing,83,119.85140986370578,31.28071193626274,0.8,0.1,1.1679534003804237,291.0677096689998
130,211,Beauty,327,298.11503053772776,24.816583329597968,0.8,0.1,4.692835066562602,94.5242779753771
469,897,Clothing,434,411.5547956450189,490.4336157210854,1.0,0.1,4.454149888010388,443.722296913825
99,409,Beauty,25,430.12780320548353,66.09634584926633,1.0,0.3,1.7772696945248985,1637.7943275901102
409,135,Clothing,224,402.12272275057575,79.63823795814595,1.0,0.1,3.3752026642265274,730.969749355491
437,538,Clothing,445,445.2226134915325,247.233493854469,0.8,0.0,3.4107964820114534,348.9906405305825
51,828,Clothing,316,174.03550752077246,245.88657177764787,1.0,0.0,4.213729658807891,27.999403418168438
439,691,Electronics,153,258.7096042668044,460.7871459696838,0.8,0.0,4.027681451009219,589.9922923279331
103,925,Clothing,292,391.9996370436965,46.031038519732306,1.0,0.0,4.972972862307277,137.80192018942233
155,694,Beauty,413,139.5804758719582,479.0471909267824,1.0,0.0,2.4033627085382685,52.25839072500851
309,676,Beauty,94,192.07490454733352,116.03121678709437,1.2,0.0,1.4985298072709075,749.6986800647501
359,424,Beauty,224,417.2662707324459,485.3753665593682,0.8,0.2,3.2938868798069207,532.6172131304821
240,739,Electronics,266,387.34196831403676,275.2488084132817,1.0,0.0,4.055966696266861,348.1725557878982
451,406,Clothing,436,485.8877882788836,329.48624550620474,0.8,0.3,2.1431734092225616,401.16318995657025
267,633,Clothing,40,498.0272886721786,164.70709860371716,1.2,0.0,1.9448254674319556,3891.9010558674636
93,827,Home,132,127.96482801597573,309.7937360388016,0.8,0.1,4.209818381118736,71.58333236382401
211,718,Electronics,65,451.2204932250999,358.3065921507049,0.8,0.1,4.0148891669008915,1154.0305947938919
251,208,Beauty,396,56.31259566153388,15.081381973229721,0.8,0.3,1.8135678709487464,28.48254208774812
495,471,Beauty,446,357.8021023923872,26.771928339034957,0.8,0.0,4.477082415981328,316.97904373016854
319,456,Clothing,209,117.84869996101996,493.37373584976666,0.8,0.2,1.5389176690366364,143.21422966691568
400,280,Beauty,473,157.15246689205574,234.20298139747956,0.8,0.2,1.436959301087171,106.09449241657772
353,455,Clothing,152,473.6973770556255,468.55058746391177,0.8,0.2,2.4044289458339945,874.3277077157427
320,775,Clothing,171,138.94410599976385,367.64983224016765,1.0,0.2,4.5461303718345345,258.50066232514206
264,167,Home,397,339.85715588870886,192.7544709040188,1.0,0.0,3.781760674636841,225.43288732316367
301,391,Electronics,324,97.28296885299552,83.91258228267961,0.8,0.3,2.5788743302049393,72.0791966147733
239,791,Clothing,58,55.76108900953893,489.2943491946038,0.8,0.2,1.6290036938074888,180.7037325190482
345,280,Clothing,183,176.26534241849356,296.4031659782097,1.0,0.0,3.853906050890578,330.4975170346754
262,565,Clothing,489,315.85608938684584,104.25474545056495,1.2,0.0,3.3965888779532505,202.66358061882516
257,533,Home,179,131.49312043949976,344.009960344426,1.0,0.0,4.950731644276523,187.74295529417466
286,563,Clothing,321,157.08271134912027,55.10376981686555,1.2,0.0,4.06223784725818,167.42480290378282
387,780,Electronics,323,357.277611117163,435.33826707267815,0.8,0.0,1.4084958256338855,341.39860617862246
416,633,Electronics,11,60.370051260870824,54.16730015511609,0.8,0.1,3.9128602376425246,1674.2627549681508
102,165,Beauty,458,228.98349498371866,125.7352355626728,1.0,0.0,2.029788182065801,50.88522110749303
329,120,Electronics,67,471.44991964228984,54.80109465941393,1.0,0.0,4.847582795901671,2280.9856406222552
459,711,Beauty,426,204.51611458297023,60.85573625623824,1.0,0.0,1.077094469896843,219.84284916530058
266,483,Electronics,328,222.75850370894526,266.6787352929995,0.8,0.1,1.9534023612718578,144.08209601599864
301,911,Beauty,201,371.72010876757156,346.6250032541022,1.0,0.1,2.9959935060472995,553.8997660348467
237,714,Clothing,474,391.715645796095,396.35607383951725,1.0,0.3,1.3162736018154377,195.44549063931476
429,658,Home,5,387.10713099245703,350.5770919050258,1.2,0.3,2.376251337376794,33213.791839152815
90,138,Home,14,498.95484220765036,188.11000789767473,0.8,0.0,2.988939892847694,2394.9832425967215
206,384,Home,41,45.01103286865808,283.07101565305607,0.8,0.2,2.7877330108268037,176.6147194465441
64,921,Clothing,30,491.3041094701697,464.555396469833,0.8,0.0,2.842340900269603,811.4442066087964
350,701,Home,469,475.5929123287254,199.91254171948728,1.0,0.3,4.516092207757415,354.1649347128806
114,696,Electronics,180,427.5480611271835,133.6781408237806,0.8,0.2,3.021163494261272,215.42753135248137
394,884,Beauty,261,232.52153216750045,264.466484224851,1.0,0.2,4.764187403303588,349.66978501524875
376,435,Clothing,288,436.7421621006229,155.69425380262803,1.2,0.3,1.5909267230563149,681.8618115564051
58,287,Home,412,118.20788202998664,138.2903554613192,0.8,0.0,2.1210243500241375,13.280498126371379
393,770,Electronics,20,397.9113593400368,391.6136176140989,1.2,0.3,3.626063100775735,8935.952241179113
178,342,Electronics,379,100.76676852931654,446.50957012479256,1.2,0.2,2.132490327609126,56.64153094174214
185,172,Clothing,181,409.52738170087804,256.1351745469863,0.8,0.1,2.389104277656206,333.02226643807666
112,578,Clothing,183,311.1192752993879,392.0936121640056,0.8,0.0,4.604112792030364,151.5015601457889
188,660,Home,243,58.03532696162751,101.6738188366482,1.0,0.3,3.1542366992201325,44.71574372453267
130,200,Beauty,349,448.70658212504037,278.3450763875654,1.2,0.3,2.3386430238372684,199.99493374716084
441,613,Home,148,293.19902577306976,321.7379719257763,1.2,0.3,4.106847111563651,1041.3484861685133
212,855,Home,255,331.56165628718617,250.4254422302183,1.0,0.1,1.282659016200813,274.57449661282607
468,275,Clothing,99,148.91991746928892,67.27130601061614,0.8,0.1,3.25465044082485,557.5561710050177
338,337,Home,54,437.1013969221752,369.7091135913479,1.2,0.0,1.3986788885862893,3223.424119847896
428,158,Home,185,277.1483602252461,421.14830682285464,1.0,0.0,1.707403208197464,637.7392375075556
310,964,Beauty,319,216.34893930283673,321.26086494091487,1.2,0.0,1.2497818171580133,251.50564193954767
280,198,Electronics,85,271.7980551618756,92.8888907922454,1.2,0.3,4.6067321151312015,1061.9086806324442
90,970,Electronics,173,354.62340991921053,46.530695525786065,1.0,0.1,1.192817835071346,183.4259016823503
77,594,Beauty,467,350.57345909264234,157.78591500549467,1.2,0.0,3.065665791760748,69.21578551316271
184,613,Electronics,21,185.2127794693282,28.12515480670553,1.0,0.1,1.8999096079363955,1549.052337379836
250,854,Home,243,198.77655725206765,421.21731512193753,1.0,0.2,2.5343545347889105,203.66450538121683
377,396,Beauty,59,285.4967144908293,354.4996156344025,1.2,0.0,2.974624738719322,2152.6452272608526
317,310,Beauty,103,462.9594891513241,286.20744389030835,1.2,0.1,2.800240565135101,1693.3633622419584
467,222,Clothing,138,375.26083081332797,445.9199267070286,0.8,0.0,3.9923487594870872,1008.6147222435923
82,328,Electronics,302,201.30334282912276,63.94581488733484,0.8,0.1,4.647533305024504,43.58250590623912
97,693,Clothing,158,175.14598701036294,360.0852774392563,1.2,0.1,2.2010888563387954,128.22008105664304
456,755,Home,498,266.5819703272841,81.84978139725577,0.8,0.3,1.0981619886242355,194.88798151381414
111,487,Beauty,231,436.2957707681514,39.85345911665557,0.8,0.2,4.575781742959331,166.9959674319476
265,239,Home,76,14.25282838197884,75.12320861196909,1.0,0.0,4.915136262797576,49.051941834083024
342,640,Electronics,17,358.13817346188637,475.96064444722276,1.2,0.1,2.733404697491458,8165.550354931009
148,490,Clothing,21,154.3110051645058,225.81235848243912,0.8,0.0,2.8231555093969116,830.4737732489766
221,369,Electronics,183,112.11476530592324,34.00789114918929,0.8,0.1,1.5766244419450999,107.72766579395233
409,858,Home,144,15.947618440211844,295.9809776448685,0.8,0.2,2.9020938003839403,35.9866258871539
263,111,Clothing,37,449.3294041064837,107.8598924049566,1.2,0.1,2.2133969439238954,3731.798945684375
84,966,Electronics,280,457.0017503031559,13.349841027285777,1.0,0.1,4.977520270144545,136.61262286642383
498,488,Home,287,40.09454640547186,381.6090392775647,1.2,0.0,1.7393918568265754,83.1961837913541
276,436,Electronics,142,265.68950829516666,85.88290867073344,1.0,0.2,2.514346928049832,512.7993306955664
150,605,Beauty,12,84.76148475006883,471.8183714563393,0.8,0.1,3.466007927994415,782.4137053852508
480,205,Clothing,185,381.7569017776543,300.47193570542066,1.2,0.0,2.380494207289594,1182.2149216340263
180,131,Clothing,473,336.041821165412,52.627953044913696,1.0,0.1,2.897694156208109,127.61081816408051
306,173,Clothing,433,155.5940983480207,116.73397004935977,0.8,0.0,4.893934532963506,87.76367575021997
54,270,Beauty,266,67.31053770977903,309.31387225732357,0.8,0.2,3.032285504203193,10.890693741806944
267,948,Clothing,268,417.2981247756204,175.6752367437537,1.2,0.3,4.641281753895271,497.03464378479094
304,168,Beauty,96,340.38371484957696,270.75009501405555,1.0,0.2,1.1723314749811178,1066.769580559499
447,912,Clothing,433,13.341773051250865,401.76090283222135,0.8,0.0,1.479273375607343,10.993129131629745
408,461,Electronics,356,317.6571726586916,398.374739036401,0.8,0.2,4.778046379012469,290.4294150022323
332,748,Electronics,293,407.0450535712095,352.0135339517007,0.8,0.0,1.5149244467523793,367.7250551990246
442,532,Electronics,0,299.47634919247656,444.1666100036932,1.0,0.0,3.946204781564151,132368.54634307465
256,199,Electronics,294,218.10970157159264,107.68673887316918,1.0,0.2,2.784014416608598,189.2748596689075
64,757,Beauty,26,296.12000548573434,96.84832938999695,0.8,0.3,2.626993316799821,561.531269661837
395,108,Home,35,313.6589078062002,401.681262964181,1.0,0.2,3.636881057104315,3441.535238429141
91,673,Home,159,323.6169657316441,167.23577965162966,0.8,0.0,3.9104033010353114,147.24571940789806
429,796,Electronics,424,483.85207641313815,260.9693824250995,0.8,0.3,4.727877121142825,390.724782647033
228,128,Home,398,97.53741590359557,374.5365528725774,1.0,0.0,2.027541955500778,55.73566623062604
112,992,Home,30,315.3156323838138,204.0068560542304,1.0,0.3,3.792321510645666,1139.204865386682
401,213,Clothing,126,102.11672661854539,73.77952709516455,1.2,0.2,2.369143270690631,386.91786495152786
280,561,Beauty,261,112.87879292201578,342.9340288757729,1.2,0.2,3.87043897953191,144.76058939617292
290,242,Electronics,344,337.93636301660973,410.4080995554991,1.0,0.0,1.5684645036815086,284.0624500719328
101,489,Home,496,458.8175016362716,16.270668954625897,1.0,0.3,2.8301701989221177,93.24057880334693
145,731,Home,435,87.93168107862837,285.6505369368949,1.0,0.0,1.7345189107052938,29.24333430367228
437,781,Electronics,209,481.6081115406488,240.0084952748062,1.0,0.3,2.345784919090709,1002.203546396493
271,256,Clothing,149,166.4924397479522,137.2020431983725,0.8,0.0,3.8625176298498882,240.6370729157069
456,434,Electronics,30,201.74388129383206,88.9039978887648,0.8,0.2,1.933399397903862,2374.069932128708
280,960,Clothing,99,85.30360373003039,102.13828253264401,1.2,0.1,3.7395356152679513,286.62010853290207
286,359,Home,328,311.7596918673087,365.2368602701084,1.0,0.0,2.9837607761899476,271.0129844196057
192,181,Beauty,301,302.24604236574396,272.7356157303737,1.2,0.1,1.3681462282264523,230.5877091426073
220,853,Clothing,450,226.71217412029813,490.7656468541234,1.0,0.2,2.546778740864536,110.59130444892591
78,540,Clothing,352,243.28478104332456,129.1830911435552,1.0,0.1,4.476824811841007,53.756977114388995
85,271,Electronics,218,315.2581791355765,478.88304662599586,1.0,0.3,4.957163591825388,122.36048048641096
62,330,Home,252,295.9133021325356,262.403684075803,0.8,0.1,2.4756843892710334,58.01304263151687
209,819,Beauty,170,193.38905700772165,81.55292504800883,1.2,0.0,1.2194989248747912,283.6372836113251
376,174,Electronics,256,443.2160487969347,82.60773092265364,1.0,0.1,1.5207510972244318,648.4406005745036
236,369,Electronics,427,337.15365633240447,308.1983153401773,1.2,0.3,4.152593655777757,223.08858755452556
292,998,Beauty,56,110.64910199390627,417.3971458496273,1.2,0.2,3.6231482927587138,680.2007954151712
135,725,Home,8,166.7524668178064,376.37864737422206,0.8,0.3,2.140047996887365,2001.029601813677
333,161,Beauty,4,396.06026983459424,331.25739789144393,0.8,0.0,2.565194250829655,21102.09117678718
115,973,Electronics,334,61.21743669984873,94.33295061923704,1.0,0.3,4.244600924982287,21.01494095666449
219,419,Electronics,113,377.6136793749055,63.08660282776008,1.2,0.1,2.6524397878314727,870.4989029800453
94,201,Clothing,264,185.83279616143972,10.121531617153995,0.8,0.1,4.023092847344376,52.734438759774584
111,528,Beauty,172,280.3286125931334,59.878992004628735,1.2,0.3,2.1808228055342633,215.83682773066687
490,973,Beauty,219,147.47347741469142,385.51963766685816,1.2,0.1,3.899247194379908,394.1563850901752
183,821,Beauty,204,493.3637201920096,448.67172383462844,1.0,0.1,2.865589772421737,440.4173697323793
333,354,Electronics,23,453.8617431497291,127.77172483915507,1.2,0.0,3.1814171266416196,7556.798023442989
77,631,Home,492,464.9404201026834,399.49817782054214,0.8,0.0,3.3949324494014794,58.09397541242454
157,669,Electronics,457,100.54000380898317,107.43589514791071,1.0,0.0,2.8022987779988227,34.4645864585379
93,211,Clothing,169,422.4281470212649,132.14312484551874,1.0,0.2,2.8645424787887785,231.09304513516258
389,412,Electronics,405,272.3445795018042,119.83746625217931,1.0,0.2,2.062834482770496,260.9409887344873
335,560,Electronics,102,356.851008134083,35.34765543409394,0.8,0.0,4.943057512442268,928.5055357275169
495,807,Electronics,59,116.57699270281874,105.09002136908074,1.0,0.3,4.623260224195155,961.7601897982546
380,986,Clothing,85,358.8724765298158,193.03623885758157,1.2,0.3,3.1095313104751416,1902.858712762744
177,561,Beauty,254,457.9909498404251,208.68016054026216,1.0,0.3,1.1385176502259582,317.89960047747155
397,964,Home,164,141.06587906591193,161.6385428076496,0.8,0.0,1.6737118834199536,271.53044358384017
280,191,Home,371,124.34632725925822,262.21538996549475,0.8,0.2,4.415740845744441,74.87520781202646
239,151,Clothing,166,61.1631287520041,195.21913392491348,1.0,0.1,4.723248292319055,87.53286090855677
274,904,Beauty,83,140.7352709027139,485.47867662530183,1.2,0.3,1.6451684182977733,550.8780603906229
434,619,Beauty,457,272.53820828965013,405.60172262231976,0.8,0.0,3.9380746254271846,206.60538410080028
426,911,Clothing,201,418.03098280440463,466.1788995120317,0.8,0.0,3.492093238304119,705.2720739591144
332,197,Electronics,89,146.61212870224333,283.13920364422455,0.8,0.1,2.21353987980449,432.66868203684254
495,335,Beauty,88,314.36075064396357,342.38641807344067,1.0,0.2,2.7443656145069046,1748.4109165029436
170,473,Home,436,244.99944259478954,91.67142379958524,0.8,0.2,3.7090777095020915,76.24696611645625
165,680,Clothing,119,151.4037299027081,378.86502104619495,0.8,0.0,1.405183655211165,166.5441028929789
282,656,Home,155,260.07594978537713,125.62584447098395,0.8,0.1,1.7561706077039911,376.1098350742377
308,748,Electronics,460,92.30157423397982,81.45813458974635,1.0,0.2,1.133259889076367,61.667863045695846
408,333,Clothing,398,323.3930043257739,30.511080882189095,0.8,0.1,4.6088069016532405,264.5500666965729
247,131,Home,187,66.67473338008683,241.39282230496303,0.8,0.1,3.2955847581416853,70.07940061651679
460,388,Home,187,368.18045732018174,150.52673721838164,1.0,0.0,3.093709743234892,900.8670764217212
186,737,Electronics,261,97.07921240889853,493.4963145917324,1.0,0.1,3.824962562466026,68.9188301834165
367,678,Clothing,51,499.09798512526714,132.41880798774838,1.2,0.1,4.953400894741869,4226.976012483993
214,641,Beauty,139,413.59957143260186,434.6062073561405,0.8,0.1,1.688949153748775,505.77319020901024
274,213,Beauty,18,178.48174889126392,165.0549968743506,1.0,0.3,1.532424070122698,2573.8946945371745
356,303,Home,479,218.84033842176302,377.07215763308204,1.2,0.1,2.179163459639859,194.7679011953691
283,128,Electronics,74,137.00360034276733,333.32224193415556,0.8,0.1,4.615776639080158,413.5682015680337
221,742,Home,229,385.8861349781996,285.2739417842243,1.0,0.0,2.6458424457634453,370.7862427399222
201,573,Electronics,480,196.55621527930927,214.24422229250968,1.0,0.2,4.173987032548839,82.1367968214993
364,796,Beauty,129,380.0408998115725,338.84145629385057,0.8,0.2,1.8117126394700955,851.2916155779224
423,352,Home,54,19.016761793288477,209.56639160626068,0.8,0.1,2.9744217694404917,117.004948924524
209,897,Home,270,76.45427015725191,278.5691148203867,1.2,0.0,1.509882156585841,70.7554647802169
145,485,Electronics,447,188.8374240042586,299.0028510496248,0.8,0.0,2.6515936001229163,48.8954044296741
282,161,Clothing,99,63.36518136335043,141.00405781819074,0.8,0.1,2.0491278674469764,142.95184915571858
229,614,Electronics,68,304.552716225158,176.470873879641,0.8,0.1,3.1977263833848157,808.6095306152022
162,529,Clothing,398,34.90772828172041,18.84453114332354,1.0,0.2,4.121624852300772,14.173062610623324
367,679,Beauty,298,431.2838673487781,427.55790676344424,1.2,0.2,4.753481485392113,635.2421912388022
491,636,Home,457,383.0409193904314,380.431740707311,1.2,0.2,2.135371125059556,492.7679251197427
101,790,Home,16,115.9656748216967,99.92992211843197,1.2,0.1,3.9725267828373636,826.7670463758612
317,240,Electronics,353,247.05803400356172,187.40374050419376,1.0,0.2,4.54236934912813,221.2355841218335
344,842,Electronics,115,231.38840842135107,216.32404667442395,0.8,0.0,1.4994075082013198,548.9490517030674
435,399,Beauty,151,365.1836615167851,173.84555908004316,1.0,0.3,3.3437289124208625,1045.0979786829048
436,774,Beauty,329,206.73936123250937,401.138975236984,1.2,0.3,3.4473852343938804,327.77585999045124
162,410,Clothing,115,26.138295936624402,365.4561459965878,0.8,0.3,2.0895404092105525,29.202785805056234
150,570,Beauty,29,144.13057083642093,385.9077777691858,0.8,0.0,1.090058238436768,576.5222833456837
162,492,Beauty,322,238.43594456615062,453.0237249578331,1.2,0.3,2.0268117859348367,143.50448180699593
489,741,Beauty,50,487.5011859187131,301.62411539118585,0.8,0.1,3.3389384289650343,3739.420861400011
130,544,Beauty,59,441.7677468076292,311.1218212237466,1.0,0.1,1.7857708496538716,957.1634514165298
236,857,Clothing,228,98.88901056107332,363.747718627144,1.2,0.3,2.1493807184325338,122.29418249299547
162,908,Beauty,258,364.4052108404778,343.8039713788318,1.0,0.3,3.8316898403651245,227.92912801605175
51,271,Clothing,359,469.0444817772459,436.20837901549123,0.8,0.2,2.5932623662830268,53.1583746014212
179,675,Electronics,4,14.308380387276703,387.39712086382696,1.2,0.0,1.2617015476690874,614.6880214374071
269,130,Home,27,363.2633800987047,69.02472207461616,0.8,0.2,2.5966635368806865,2791.9385499014734
103,146,Electronics,253,235.0734128494671,464.8957215694155,1.2,0.0,4.999075859489443,114.3900544417092
392,229,Beauty,363,343.3157361787245,344.7186522475892,1.2,0.2,2.0442061553336335,443.6695667540439
273,451,Home,461,306.7387440501772,72.30150365491335,1.2,0.1,2.0610261138007324,217.50565487194385
274,944,Beauty,230,492.4860922832937,388.267130500807,1.2,0.0,1.679545658637609,700.9931910941428
434,721,Beauty,394,151.51954908595525,185.62213957221024,1.2,0.3,2.0865495308048057,199.77564851636834
452,680,Electronics,455,395.21006111593977,404.9291768978865,0.8,0.0,3.2990132136580526,313.3946449550961
175,157,Beauty,356,124.97354527339996,478.14891206520633,1.2,0.0,4.8584085280717035,73.5138501608235
179,205,Electronics,199,223.4479089995847,135.06859769337555,1.0,0.2,3.4307810890901926,199.98587855462833
102,911,Beauty,331,487.9366282440318,430.13141258160556,1.2,0.3,2.639390369111074,179.8898894490045
221,429,Clothing,270,385.4067850469348,389.0450713705299,1.0,0.2,2.5585345162951088,314.29852212314603
267,867,Home,338,164.75241557894395,338.8806010982289,0.8,0.3,1.0969035384455506,103.80860167452045
209,923,Electronics,303,313.4909487150555,198.61106683484766,1.2,0.2,1.010169208799601,258.63003268992077
247,782,Electronics,382,34.349120916359745,63.83242676778536,1.2,0.3,4.188774187918123,26.582452844932188
465,482,Home,45,140.53350914427514,247.1094456807642,1.0,0.0,2.9606426500590106,1420.610472871477
296,261,Electronics,27,362.01133990577114,61.77664859097036,1.2,0.1,1.1328376521326526,4592.372426233211
373,385,Home,6,289.3458490982792,255.07214117037933,0.8,0.3,2.144108179161455,12334.400195846645
488,170,Clothing,231,240.13969795861843,411.94370268002916,0.8,0.2,2.426727535504794,404.0971469096752
252,866,Beauty,198,348.5292694078219,498.842685856472,1.2,0.0,4.133155559935524,529.6243772307806
